"delivery_speed_bucket","total_orders","average_delivery_days","average_review_score","late_delivery_rate_percentage"
"0-3 days",4755,2.20,4.48,0.38
"4-7 days",17449,5.60,4.40,0.97
"8-14 days",32473,10.70,4.30,1.38
"More than 30 days",19457,15.79,3.87,19.48
"15-30 days",21690,20.13,3.93,14.91
