"seller_state","seller_id","seller_city","total_revenue","total_orders","seller_rank"
"SC","712e6ed8aa4aa1fa65dab41fed5737e4","videira",46149.82,77,3
"SC","7178f9f4dd81dcef02f62acdf8151e01","videira",41180.44,202,4
"SC","a3a38f4affed601eb87a97788c949667","joinville",31479.28,251,5
"SE","4b39558c138930b9e5489c93b6df5fe3","aracaju",1229.10,4,1
"SE","c53bcd3be457a342a97e39e5a9f0be22","neopolis",695.59,5,2
"SP","4869f7a5dfa277a7dca6462dcf3b52b2","guariba",247007.06,1124,1
"SP","7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba",237806.69,973,2
"SP","4a3ca9315b744ce9f8e9374361493884","ibitinga",231220.43,1772,3
"SP","fa1c13f2614d7b5c4749cbc52fecda94","sumare",200833.50,578,4
"SP","da8622b14eb17ae2831f4ac5b9dab84a","piracicaba",184706.78,1311,5
