"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"04fdea0c111866e6cf812f1570d6b5bd","sao paulo","SP",10,10,2,1055.00,206.95,1261.95,3.20
"0509040ea3fe50071181bbc359eb7738","belo horizonte","MG",89,98,34,3737.95,1445.15,5183.10,4.50
"052577151711aec5c744fe12e66db3e1","rodeio","SC",4,4,1,2748.00,222.42,2970.42,2.25
"054694fa03fe82cec4b7551487331d74","itajobi","SP",21,22,15,9983.10,720.65,10703.75,3.36
"056b4ada5bbc2c50cc7842547dda6b51","queimados","RJ",65,66,23,12333.39,1306.02,13639.41,4.12
"0570350b23eda5444f8d1d9544932058","sao paulo","SP",6,11,3,626.90,124.86,751.76,5.00
"05730013efda596306417c3b09302475","criciuma","SC",4,4,4,952.00,216.67,1168.67,5.00
"058cb5aeb36d7c0fcae20fc85d5e0a59","rio de janeiro","RJ",12,13,8,1328.00,779.42,2107.42,3.38
"058fd0aa2bfdb2274e05e1ae971dabb6","santo andre","SP",61,64,11,7667.90,887.90,8555.80,4.39
"05a48cc8859962767935ab9087417fbb","sao paulo","SP",1,1,1,42.90,16.49,59.39,5.00
"05a940b4ecae36cadfd8e93bd9c43257","goiania","GO",10,10,9,952.00,196.94,1148.94,3.90
"05aebce0b5c8f0d41b29b686f2d05fd3","sao paulo","SP",2,2,2,74.99,45.89,120.88,5.00
"05ca864204d09595ae591b93ea9cf93d","barueri","SP",1,1,1,179.90,8.52,188.42,5.00
"05d2173d43ea568aa0540eba70d2ca76","alfenas","MG",62,66,48,5759.66,1679.27,7438.93,4.00
"05e107217c7266362fd44b75b2cd4cc4","sao paulo - sp","SP",5,8,3,193.38,82.01,275.39,4.13
"05f51e13da97139648b8125c31e5f51b","belo horizonte","MG",60,63,21,13769.01,2019.29,15788.30,4.10
"05feb94f19d094d4b0f9281f0b1d4c99","mogi das cruzes","SP",6,6,2,9353.00,697.04,10050.04,4.50
"05ff92fedb5be47920fea08e501238b9","santo angelo","RS",59,62,16,21992.78,1815.39,23808.17,4.21
"062c325cd6a2b87845fab56b4ec2eeae","sao paulo","SP",2,2,2,133.22,23.86,157.08,5.00
"062ce95fa2ad4dfaedfc79260130565f","lajeado","RS",55,60,14,7521.00,1200.44,8721.44,3.97
"06532f10282704ef4c69168b914b77be","paincandu","PR",8,9,8,10220.50,698.24,10918.74,4.22
"06579cb253ecd5a3a12a9e6eb6bf8f47","sao paulo - sp","SP",62,72,11,4727.20,1499.41,6226.61,3.76
"066a6914e1ebf3ea95a216c73a986b91","foz do iguacu","PR",68,74,44,9410.38,1705.57,11115.95,3.97
